segment_id,window_start_idx,window_mode,dominant_channel,max_spike_ratio,spike_channels,fault_hint,window_max_val,active_pres_ceiling,active_pmpPV_ceiling
A_Day1_seg10,150,steady_state,X_ACR_Pmp.SV_norm,8.0286,X_ACR_Pmp.SV_norm=8.029(8.0x),impeller_cavitation,8.0286,5.6,2.5997
A_Day1_seg10,160,steady_state,X_ACR_Pmp.SV_norm,8.0286,X_ACR_Pmp.SV_norm=8.029(8.0x),impeller_cavitation,8.0286,5.6,2.5997
A_Day1_seg10,170,steady_state,X_ACR_Pmp.SV_norm,8.0286,X_ACR_Pmp.SV_norm=8.029(8.0x),impeller_cavitation,8.0286,5.6,2.5997
A_Day1_seg10,180,cooldown,X_ACR_Pmp.SV_norm,8.0286,X_ACR_Pmp.SV_norm=8.029(8.0x),impeller_cavitation,8.0286,3.0,2.6015
A_Day1_seg10,190,cooldown,X_ACR_Pmp.SV_norm,8.0286,X_ACR_Pmp.SV_norm=8.029(8.0x),impeller_cavitation,8.0286,3.0,2.6015
A_Day1_seg10,200,cooldown,X_ACR_Pmp.SV_norm,8.0286,X_ACR_Pmp.SV_norm=8.029(8.0x),impeller_cavitation,8.0286,3.0,2.6015
A_Day1_seg10,270,cooldown,X_ACR_Mot.PV_norm,2.1102,X_ACR_Mot.PV_norm=2.110(2.1x),mechanical_transient,2.11,3.0,2.6015
A_Day1_seg10,280,cooldown,X_ACR_Mot.PV_norm,2.1102,X_ACR_Mot.PV_norm=2.110(2.1x),mechanical_transient,2.11,3.0,2.6015
A_Day1_seg10,290,cooldown,X_ACR_Mot.PV_norm,2.1102,X_ACR_Mot.PV_norm=2.110(2.1x),mechanical_transient,2.11,3.0,2.6015
A_Day1_seg10,300,cooldown,X_ACR_Mot.PV_norm,2.1102,X_ACR_Mot.PV_norm=2.110(2.1x),mechanical_transient,2.11,3.0,2.6015
A_Day1_seg10,310,cooldown,X_ACR_Mot.PV_norm,2.1102,X_ACR_Mot.PV_norm=2.110(2.1x),mechanical_transient,2.11,3.0,2.6015
A_Day1_seg10,410,cooldown,X_ACR_Mot.PV_norm,1.8854,X_ACR_Mot.PV_norm=1.885(1.9x),mechanical_transient,1.8853,3.0,2.6015
A_Day1_seg10,420,cooldown,X_ACR_Mot.PV_norm,1.8854,X_ACR_Mot.PV_norm=1.885(1.9x),mechanical_transient,1.8853,3.0,2.6015
A_Day1_seg10,430,cooldown,X_ACR_Mot.PV_norm,1.8854,X_ACR_Mot.PV_norm=1.885(1.9x),mechanical_transient,1.8853,3.0,2.6015
A_Day1_seg10,440,cooldown,X_ACR_Mot.PV_norm,1.8854,X_ACR_Mot.PV_norm=1.885(1.9x),mechanical_transient,1.8853,3.0,2.6015
